Бит,Переменная,Описание
330.0,stBunker[3].cmdStartFeeder,Команда пуска питателя бункера 3
330.1,stBunker[3].cmdStopFeeder,Команда останова питателя бункера 3
330.2,stBunker[3].cmdEmergencyStopFeeder,Команда аварийной остановки бункера 3
330.3,stBunker[3].cmdReset,Сброс ошибок бункера 3
330.4,РЕЗЕРВ,Резерв
330.5,РЕЗЕРВ,Резерв
330.6,РЕЗЕРВ,Резерв
330.7,РЕЗЕРВ,Резерв
330.8,РЕЗЕРВ,Резерв
330.9,РЕЗЕРВ,Резерв
330.10,РЕЗЕРВ,Резерв
330.11,РЕЗЕРВ,Резерв
330.12,РЕЗЕРВ,Резерв
330.13,РЕЗЕРВ,Резерв
330.14,РЕЗЕРВ,Резерв
330.15,РЕЗЕРВ,Резерв
331.0,РЕЗЕРВ,Резерв
331.1,РЕЗЕРВ,Резерв
331.2,РЕЗЕРВ,Резерв
331.3,РЕЗЕРВ,Резерв
331.4,РЕЗЕРВ,Резерв
331.5,РЕЗЕРВ,Резерв
331.6,РЕЗЕРВ,Резерв
331.7,РЕЗЕРВ,Резерв
331.8,РЕЗЕРВ,Резерв
331.9,РЕЗЕРВ,Резерв
331.10,РЕЗЕРВ,Резерв
331.11,РЕЗЕРВ,Резерв
331.12,РЕЗЕРВ,Резерв
331.13,РЕЗЕРВ,Резерв
331.14,РЕЗЕРВ,Резерв
331.15,РЕЗЕРВ,Резерв
