Бит,Переменная,Описание
90.0,stBunker[2].xStateWarning,Предупреждение бункера 2
90.1,stBunker[2].xStateFailure,Авария бункера 2
90.2,stBunker[2].fbStateHatch.qxSignal,Люк закрыт (1) / открыт (0)
90.3,stBunker[2].qxLightRed,Красный свет светофора
90.4,stBunker[2].qxLightYellow,Желтый свет светофора
90.5,stBunker[2].qxLightGreen,Зеленый свет светофора
90.6,stBunker[2].fbBtnStart.qxSignal,"Кнопка ""Пуск питателя"""
90.7,stBunker[2].fbBtnStop.qxSignal,"Кнопка ""Стоп питателя"""
90.8,stBunker[2].fbBtnEmergencyStop.qxSignal,"Кнопка ""Аварийная остановка"""
90.9,РЕЗЕРВ,Резерв
90.10,РЕЗЕРВ,Резерв
90.11,РЕЗЕРВ,Резерв
90.12,РЕЗЕРВ,Резерв
90.13,РЕЗЕРВ,Резерв
90.14,РЕЗЕРВ,Резерв
90.15,РЕЗЕРВ,Резерв
91.0,РЕЗЕРВ,Резерв
91.1,РЕЗЕРВ,Резерв
91.2,РЕЗЕРВ,Резерв
91.3,РЕЗЕРВ,Резерв
91.4,РЕЗЕРВ,Резерв
91.5,РЕЗЕРВ,Резерв
91.6,РЕЗЕРВ,Резерв
91.7,РЕЗЕРВ,Резерв
91.8,РЕЗЕРВ,Резерв
91.9,РЕЗЕРВ,Резерв
91.10,РЕЗЕРВ,Резерв
91.11,РЕЗЕРВ,Резерв
91.12,РЕЗЕРВ,Резерв
91.13,РЕЗЕРВ,Резерв
91.14,РЕЗЕРВ,Резерв
91.15,РЕЗЕРВ,Резерв
