Бит,Переменная,Описание
150.0,stBunker[3].xStateWarning,Предупреждение бункера 3
150.1,stBunker[3].xStateFailure,Авария бункера 3
150.2,stBunker[3].fbStateHatch.qxSignal,Люк закрыт (1) / открыт (0)
150.3,stBunker[3].qxLightRed,Красный свет светофора
150.4,stBunker[3].qxLightYellow,Желтый свет светофора
150.5,stBunker[3].qxLightGreen,Зеленый свет светофора
150.6,stBunker[3].fbBtnStart.qxSignal,"Кнопка ""Пуск питателя"""
150.7,stBunker[3].fbBtnStop.qxSignal,"Кнопка ""Стоп питателя"""
150.8,stBunker[3].fbBtnEmergencyStop.qxSignal,"Кнопка ""Аварийная остановка"""
150.9,РЕЗЕРВ,Резерв
150.10,РЕЗЕРВ,Резерв
150.11,РЕЗЕРВ,Резерв
150.12,РЕЗЕРВ,Резерв
150.13,РЕЗЕРВ,Резерв
150.14,РЕЗЕРВ,Резерв
150.15,РЕЗЕРВ,Резерв
151.0,РЕЗЕРВ,Резерв
151.1,РЕЗЕРВ,Резерв
151.2,РЕЗЕРВ,Резерв
151.3,РЕЗЕРВ,Резерв
151.4,РЕЗЕРВ,Резерв
151.5,РЕЗЕРВ,Резерв
151.6,РЕЗЕРВ,Резерв
151.7,РЕЗЕРВ,Резерв
151.8,РЕЗЕРВ,Резерв
151.9,РЕЗЕРВ,Резерв
151.10,РЕЗЕРВ,Резерв
151.11,РЕЗЕРВ,Резерв
151.12,РЕЗЕРВ,Резерв
151.13,РЕЗЕРВ,Резерв
151.14,РЕЗЕРВ,Резерв
151.15,РЕЗЕРВ,Резерв
