Регистр,Тип,Переменная,Описание
2-3,-,РЕЗЕРВ,РЕЗЕРВ
4-5,REAL,rElectricityMeter,Расход электроэнергии
6-7,REAL,EFFICIENCY_LIMIT_RATE,Коэффициент ограничения производ.
8-9,REAL,ANNUNCIATOR_LIGHT_HZ,Частота световой индикации
10-29,-,РЕЗЕРВ,Резерв для будущих переменных
