Регистр,Тип,Переменная,Описание
62-63,REAL,BUNKER_WORK_PRECENT_1,Пропорция шихтования бункера 1
64-65,REAL,BUNKER_WORK_PRECENT_2,Пропорция шихтования бункера 2
66-67,REAL,BUNKER_WORK_PRECENT_3,Пропорция шихтования бункера 3
68-69,REAL,BUNKER_MINIMAL_WEIGHT,Минимальный вес бункера
70-89,-,РЕЗЕРВ,Резерв для уставок бункеров
