Бит,Переменная,Описание
300.0,stBunker[2].cmdStartFeeder,Команда пуска питателя бункера 2
300.1,stBunker[2].cmdStopFeeder,Команда останова питателя бункера 2
300.2,stBunker[2].cmdEmergencyStopFeeder,Команда аварийной остановки бункера 2
300.3,stBunker[2].cmdReset,Сброс ошибок бункера 2
300.4,РЕЗЕРВ,Резерв
300.5,РЕЗЕРВ,Резерв
300.6,РЕЗЕРВ,Резерв
300.7,РЕЗЕРВ,Резерв
300.8,РЕЗЕРВ,Резерв
300.9,РЕЗЕРВ,Резерв
300.10,РЕЗЕРВ,Резерв
300.11,РЕЗЕРВ,Резерв
300.12,РЕЗЕРВ,Резерв
300.13,РЕЗЕРВ,Резерв
300.14,РЕЗЕРВ,Резерв
300.15,РЕЗЕРВ,Резерв
301.0,РЕЗЕРВ,Резерв
301.1,РЕЗЕРВ,Резерв
301.2,РЕЗЕРВ,Резерв
301.3,РЕЗЕРВ,Резерв
301.4,РЕЗЕРВ,Резерв
301.5,РЕЗЕРВ,Резерв
301.6,РЕЗЕРВ,Резерв
301.7,РЕЗЕРВ,Резерв
301.8,РЕЗЕРВ,Резерв
301.9,РЕЗЕРВ,Резерв
301.10,РЕЗЕРВ,Резерв
301.11,РЕЗЕРВ,Резерв
301.12,РЕЗЕРВ,Резерв
301.13,РЕЗЕРВ,Резерв
301.14,РЕЗЕРВ,Резерв
301.15,РЕЗЕРВ,Резерв
