Регистр,Тип,Переменная,Описание
182-183,REAL,CONVEYOR_PRESTART_ALARM_SETTINGS.TIME_FIRST_SIGNAL,ППЗ конвейера - 1-й сигнал
184-185,REAL,CONVEYOR_PRESTART_ALARM_SETTINGS.TIME_FIRST_SIGNAL_PAUSE,ППЗ конвейера - пауза 1-го
186-187,REAL,CONVEYOR_PRESTART_ALARM_SETTINGS.TIME_SECOND_SIGNAL,ППЗ конвейера - 2-й сигнал
188-189,REAL,CONVEYOR_PRESTART_ALARM_SETTINGS.TIME_SECOND_SIGNAL_PAUSE,ППЗ конвейера - пауза 2-го
190-209,-,РЕЗЕРВ,Резерв для уставок времени
